ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match,vizier_match,xray-binaries_match
17708,284.29391275179313,-20.864164430424154,7.310356909494496,0.70436165505221,5.781067848205566,yes,no,no,no,no,unknown,yes,no
17709,284.32088384225955,-20.894216805987558,3.5056299733861787,0.2097557666835317,17.43198013305664,yes,no,no,no,no,unknown,yes,no
25103,354.9160761131271,-69.19603365833444,0.20476963022934017,0.011714725988279192,1353.5911865234375,yes,no,no,no,no,unknown,yes,no
25105,354.9154384253299,-69.19494597715334,0.19837418602621423,0.016098773179245893,736.907958984375,yes,no,no,no,no,unknown,no,no
366,56.64801491428161,24.02650239991879,4.525429671041816,0.05586343605061473,278.51287841796875,yes,no,yes,no,no,unknown,yes,no
18,83.7882345010873,-5.516053363179786,8.076036588874285,0.18110672011581552,46.11821746826172,yes,yes,no,no,yes,unknown,yes,no
19,285.4693247678097,-36.94993784261837,1.6873076486425127,0.1000474576798809,28.546756744384766,no,yes,yes,no,no,unknown,no,no
21,84.13707583445152,-6.739122826163302,2.202771125299452,0.03724253512580005,186.30950927734375,yes,no,yes,no,no,unknown,yes,no
606,55.99884907479116,32.23415014739087,8.704186202102541,0.120175508857946,262.96600341796875,yes,yes,yes,no,no,unknown,yes,no
624,54.89680312634917,-35.42891557700896,0.601401942431699,0.2832529234781057,7.5699262619018555,no,no,no,no,no,unknown,no,no
634,83.84330415131366,-5.134650241914715,2.3365580609470094,0.025669695607215208,190.78538513183594,yes,no,no,no,no,unknown,yes,no
642,52.310096769454695,31.37670466093181,3.4486928507702412,0.1968950200699036,12.645890235900879,yes,no,no,no,no,unknown,unknown,unknown
1872,86.80864658791623,0.004391913913871153,8.139603203438023,0.03695993388064252,955.0807495117188,yes,no,no,no,no,unknown,yes,no
1878,85.46051809530935,-2.049343562398886,7.838523174760895,0.2883130228960604,42.969093322753906,yes,no,no,no,no,unknown,yes,no
1882,91.94120792459721,-6.416056662657355,2.3582227489346588,0.037753340444904145,90.91827392578125,yes,no,no,no,no,unknown,no,no
2522,64.62968449469007,28.454532112009623,4.483390945640381,0.027589972752091345,1046.1439208984375,yes,yes,yes,no,yes,unknown,yes,no
2548,83.82059657642446,-5.765504819329834,5.734543859719933,0.1443578050323481,63.5009880065918,no,no,no,no,no,unknown,unknown,unknown
2549,83.84920768313285,-4.837938493386349,2.2410066619602294,0.038253055287193194,155.78370666503906,unknown,unknown,yes,no,no,unknown,yes,no
1867,167.83357045699768,-76.64039436773764,5.707100818757783,0.32550868258632404,11.251603126525879,unknown,unknown,no,no,no,unknown,yes,no
